Id,Title,Brand,Dealer,Price,ColorExterior,Type,TelephoneNumber,TelephoneNumber2,TelephoneNumber3,Dealer Ubication
983702,Mitsubishi Canter Cama 14 Pies 2022,mitsubishi,Auto Mayella,"US$ 41,900",Blanco,Camión, 809-573-3955 ext:242/248              , 829-209-6200 NELSON G / JUAN J.829-343-9908//849-879-1803 ARIDIO REYNOSO,  829-785-9418 Willy beato /Juan angel. 829-671-5253/829-337-4541 Jose F ," Caretera Santiago, La vega, La Vega, La Vega"
782061,Mitsubishi Rosa 2022,mitsubishi,Auto Mayella,"US$ 78,900",Blanco,Autobús, 809-573-3955 ext:242/248              , 829-209-6200 NELSON G / JUAN J.829-343-9908//849-879-1803 ARIDIO REYNOSO,  829-785-9418 Willy beato /Juan angel. 829-671-5253/829-337-4541 Jose F ," Caretera Santiago, La vega, La Vega, La Vega"
845266,Mitsubishi Canter Chassis 18 pies 2022,mitsubishi,Auto Mayella,"US$ 44,500",Blanco,Camión, 809-573-3955 ext:242/248              , 829-209-6200 NELSON G / JUAN J.829-343-9908//849-879-1803 ARIDIO REYNOSO,  829-785-9418 Willy beato /Juan angel. 829-671-5253/829-337-4541 Jose F ," Caretera Santiago, La vega, La Vega, La Vega"
1013765,Mitsubishi Canter Volteo 2022,mitsubishi,Auto Mayella,"US$ 47,900",Blanco,Camión, 809-573-3955 ext:242/248              , 829-209-6200 NELSON G / JUAN J.829-343-9908//849-879-1803 ARIDIO REYNOSO,  829-785-9418 Willy beato /Juan angel. 829-671-5253/829-337-4541 Jose F ," Caretera Santiago, La vega, La Vega, La Vega"
1135814,Changan CS15 Luxury 2022,changan,Auto Mayella,"US$ 19,900",Rojo,Jeepeta, 809-573-3955 ext:242/248              , 829-209-6200 NELSON G / JUAN J.829-343-9908//849-879-1803 ARIDIO REYNOSO,  829-785-9418 Willy beato /Juan angel. 829-671-5253/829-337-4541 Jose F ," Caretera Santiago, La vega, La Vega, La Vega"
1068328,Mitsubishi L 200 2022,mitsubishi,Hino Autos,"US$ 46,900",Gris,Camioneta, 809-732-0494, 829-421-5210 / 829-421-5224, 829-421-5215 / 829-883-5149," Arroyo Hondo, Santo Domingo D.N, Distrito Nacional"
1068512,Mitsubishi L 200 2022,mitsubishi,Hino Autos,"US$ 46,900",Blanco,Camioneta, 809-732-0494, 829-421-5210 / 829-421-5224, 829-421-5215 / 829-883-5149," Arroyo Hondo, Santo Domingo D.N, Distrito Nacional"
1135649,Mitsubishi Canter Chassis 16 Pies 2022,mitsubishi,Hino Autos,"US$ 43,500",Blanco,Camión, 809-732-0494, 829-421-5210 / 829-421-5224, 829-421-5215 / 829-883-5149," Arroyo Hondo, Santo Domingo D.N, Distrito Nacional"
1135645,Mitsubishi Canter Cama 12 Pies  2022,mitsubishi,Hino Autos,"US$ 39,000",Blanco,Camión, 809-732-0494, 829-421-5210 / 829-421-5224, 829-421-5215 / 829-883-5149," Arroyo Hondo, Santo Domingo D.N, Distrito Nacional"
1135816,Changan CS15 Luxury 2022,changan,Auto Mayella,"US$ 19,900",Blanco,Jeepeta, 809-573-3955 ext:242/248              , 829-209-6200 NELSON G / JUAN J.829-343-9908//849-879-1803 ARIDIO REYNOSO,  829-785-9418 Willy beato /Juan angel. 829-671-5253/829-337-4541 Jose F ," Caretera Santiago, La vega, La Vega, La Vega"
1133410,Mazda CX-5 GT 2022,mazda,Hino Autos,"US$ 42,990",Gris,Jeepeta, 809-732-0494, 829-421-5210 / 829-421-5224, 829-421-5215 / 829-883-5149," Arroyo Hondo, Santo Domingo D.N, Distrito Nacional"
1135643,Mitsubishi Canter Cama 12 Pies  2022,mitsubishi,Hino Autos,"US$ 39,000",Rojo,Camión, 809-732-0494, 829-421-5210 / 829-421-5224, 829-421-5215 / 829-883-5149," Arroyo Hondo, Santo Domingo D.N, Distrito Nacional"
1135642,Mitsubishi Canter Cama 14 Pies 2022,mitsubishi,Hino Autos,"US$ 40,500",Blanco,Camión, 809-732-0494, 829-421-5210 / 829-421-5224, 829-421-5215 / 829-883-5149," Arroyo Hondo, Santo Domingo D.N, Distrito Nacional"
1135640,Mitsubishi Canter Chassis 14 pies 2022,mitsubishi,Hino Autos,"US$ 39,000",Blanco,Camión, 809-732-0494, 829-421-5210 / 829-421-5224, 829-421-5215 / 829-883-5149," Arroyo Hondo, Santo Domingo D.N, Distrito Nacional"
1100223,Mitsubishi L 200 Sportero 2022,mitsubishi,Auto Spot,"US$ 46,900",Azul,Camioneta, 809-255-8888,, Amin 809-868-5120 | Carlos 829-585-5885 | Jose 829-912-7171 | Danilo 809-919-1005," Bella Vista, Santo Domingo D.N, Distrito Nacional"
